home,away,Referee,time,HRestTime,ARestTime,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_Poss_Acc,A_Poss_Acc,H_atkPass_tot_Acc,A_atkPass_tot_Acc,H_atkPass_Ok_Acc,A_atkPass_OK_Acc,H_ins_Acc,A_ins_Acc,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,y
Man City,Aston Villa,J Moss,15661.0,6.0,6.0,91.0,43.0,50.0,27.0,297.2000000000001,209.80000000000027,838.0,572.0,639.0,320.0,57.0,92.0,16.0,1.8421052631578947,4.0,1.0,0.0,6.0,1.0,1.0,3.0,-3.0,28.782777057943917,H
Liverpool,Wigan,K Friend,15661.0,5.0,7.0,80.0,58.0,40.0,36.0,285.7000000000002,267.70000000000005,805.0,609.0,575.0,432.0,72.0,81.0,1.0,1.0476190476190477,1.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,3.3789131920710886,H
Arsenal,Tottenham,H Webb,15661.0,7.0,6.0,76.0,76.0,44.0,42.0,315.9000000000001,234.99999999999991,876.0,538.0,685.0,372.0,64.0,119.0,-1.0,0.9629629629629629,2.0,1.0,2.0,1.0,2.0,0.0,3.0,-1.0,3.3715471456647954,H
QPR,Southampton,M Dean,15661.0,7.0,7.0,71.0,55.0,35.0,26.0,256.6000000000002,260.39999999999975,565.0,690.0,398.0,449.0,74.0,79.0,-1.0,0.9333333333333333,0.0,2.0,3.0,-3.0,0.0,2.0,3.0,-6.0,-1.219829059829065,A
Fulham,Sunderland,L Probert,15662.0,8.0,8.0,64.0,47.0,31.0,20.0,259.2,245.79999999999993,606.0,555.0,434.0,347.0,89.0,78.0,6.0,1.3,1.0,4.0,0.0,1.0,0.0,2.0,3.0,-5.0,18.327991452991455,A
West Ham,Stoke,C Foy,15663.0,8.0,9.0,47.0,42.0,28.0,23.0,200.80000000000013,226.80000000000007,603.0,666.0,372.0,379.0,51.0,68.0,6.0,1.2727272727272727,2.0,1.0,2.0,1.0,1.0,2.0,2.0,-2.0,5.948787739785921,D
Man United,QPR,L Probert,15668.0,3.0,7.0,67.0,71.0,38.0,36.0,294.8000000000002,248.30000000000015,832.0,519.0,635.0,351.0,57.0,65.0,23.0,2.769230769230769,4.0,0.0,1.0,4.0,0.0,2.0,3.0,-4.0,31.632742392942617,H
Wigan,Reading,H Webb,15668.0,7.0,7.0,57.0,60.0,33.0,29.0,272.70000000000005,210.1,611.0,603.0,448.0,340.0,82.0,83.0,1.0,1.0526315789473684,2.0,0.0,3.0,-3.0,1.0,3.0,1.0,0.0,-4.202864782276549,H
Aston Villa,Arsenal,L Mason,15668.0,7.0,2.0,45.0,69.0,30.0,40.0,199.10000000000028,313.00000000000006,527.0,847.0,292.0,660.0,87.0,69.0,-10.0,0.6428571428571429,1.0,1.0,3.0,-6.0,2.0,1.0,2.0,2.0,-9.988238787356437,D
Sunderland,West Brom,M Dean,15668.0,5.0,7.0,51.0,55.0,23.0,28.0,256.99999999999994,206.39999999999984,614.0,563.0,395.0,363.0,80.0,61.0,-10.0,0.6875,1.0,2.0,2.0,0.0,3.0,0.0,2.0,2.0,-11.201672515390662,A
Everton,Norwich,M Jones,15668.0,7.0,6.0,90.0,53.0,48.0,25.0,281.29999999999995,218.5000000000002,828.0,636.0,566.0,400.0,74.0,56.0,6.0,1.2608695652173914,1.0,3.0,1.0,0.0,3.0,2.0,0.0,3.0,-9.70503464543713,D
Stoke,Fulham,M Oliver,15668.0,4.0,5.0,49.0,68.0,26.0,39.0,231.70000000000005,250.39999999999992,665.0,647.0,394.0,467.0,58.0,92.0,-3.0,0.88,1.0,2.0,2.0,-2.0,1.0,3.0,1.0,-1.0,-5.227074453072635,H
Chelsea,Man City,C Foy,15669.0,4.0,3.0,67.0,86.0,40.0,42.0,262.1,303.3,794.0,939.0,595.0,739.0,55.0,61.0,-4.0,0.8918918918918919,1.0,2.0,2.0,0.0,4.0,1.0,0.0,8.0,-17.099149948178283,D
Southampton,Newcastle,M Atkinson,15669.0,8.0,2.0,63.0,71.0,35.0,35.0,271.69999999999976,221.4,814.0,513.0,551.0,303.0,81.0,65.0,-6.0,0.7391304347826086,1.0,1.0,3.0,-4.0,1.0,2.0,2.0,-1.0,-6.904920104050543,H
Swansea,Liverpool,J Moss,15669.0,8.0,2.0,56.0,86.0,35.0,46.0,245.70000000000027,271.7000000000002,618.0,752.0,445.0,550.0,86.0,72.0,1.0,1.0416666666666667,2.0,2.0,1.0,1.0,2.0,3.0,0.0,4.0,-2.988983807216627,D
Tottenham,West Ham,A Marriner,15669.0,2.0,5.0,59.0,56.0,36.0,36.0,213.2999999999999,227.5000000000001,455.0,652.0,283.0,401.0,112.0,40.0,-2.0,0.9285714285714286,1.0,0.0,4.0,-6.0,2.0,2.0,1.0,3.0,-15.266965256965264,H
Aston Villa,Reading,L Probert,15671.0,2.0,3.0,46.0,68.0,34.0,34.0,187.20000000000027,200.1,505.0,567.0,292.0,330.0,81.0,79.0,0.0,1.0,1.0,2.0,2.0,-5.0,1.0,3.0,1.0,0.0,-3.1562558356676043,H
Sunderland,QPR,A Marriner,15671.0,3.0,3.0,54.0,67.0,29.0,36.0,240.49999999999991,228.80000000000015,621.0,475.0,396.0,316.0,76.0,72.0,9.0,1.75,1.0,1.0,3.0,-2.0,0.0,1.0,4.0,-6.0,12.795378787878786,D
Swansea,West Brom,L Mason,15672.0,3.0,4.0,55.0,50.0,32.0,26.0,247.6000000000002,213.49999999999991,587.0,591.0,423.0,382.0,92.0,72.0,-9.0,0.7352941176470589,1.0,3.0,1.0,0.0,4.0,0.0,1.0,5.0,-11.245768652805822,H
Wigan,Man City,M Halsey,15672.0,4.0,2.0,66.0,76.0,37.0,36.0,287.10000000000014,304.9,649.0,991.0,480.0,763.0,81.0,63.0,-15.0,0.5945945945945946,3.0,0.0,2.0,-1.0,3.0,2.0,0.0,7.0,-16.697156519737163,A
Tottenham,Liverpool,P Dowd,15672.0,2.0,3.0,61.0,84.0,33.0,47.0,230.49999999999991,265.4000000000002,481.0,742.0,305.0,548.0,97.0,71.0,4.0,1.1666666666666667,2.0,0.0,3.0,-2.0,1.0,4.0,0.0,3.0,-8.75102952602953,H
Everton,Arsenal,M Oliver,15672.0,4.0,3.0,94.0,69.0,53.0,39.0,296.19999999999993,303.60000000000014,861.0,824.0,596.0,647.0,79.0,73.0,1.0,1.0357142857142858,1.0,3.0,1.0,0.0,2.0,2.0,1.0,3.0,-3.7604247881935535,D
Chelsea,Fulham,A Taylor,15672.0,2.0,4.0,61.0,59.0,34.0,36.0,246.6,259.3999999999999,760.0,643.0,565.0,467.0,61.0,96.0,9.0,1.375,0.0,3.0,2.0,-2.0,0.0,3.0,2.0,-3.0,9.235966437104956,D
Man United,West Ham,M Jones,15672.0,4.0,2.0,69.0,57.0,40.0,34.0,293.3000000000002,229.40000000000006,853.0,652.0,641.0,408.0,64.0,39.0,11.0,1.4074074074074074,4.0,0.0,1.0,4.0,1.0,2.0,2.0,-2.0,17.144755781852552,H
Southampton,Norwich,M Clattenburg,15672.0,3.0,4.0,69.0,54.0,41.0,26.0,259.49999999999983,232.6000000000002,819.0,638.0,537.0,395.0,82.0,53.0,-4.0,0.8260869565217391,2.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,-10.962151427489967,D
Stoke,Newcastle,H Webb,15672.0,4.0,3.0,53.0,69.0,23.0,31.0,236.00000000000009,237.8,713.0,544.0,438.0,311.0,64.0,72.0,2.0,1.0909090909090908,2.0,2.0,1.0,1.0,1.0,1.0,3.0,-3.0,12.335782321954085,H
Man City,Everton,L Probert,15675.0,2.0,2.0,81.0,91.0,37.0,55.0,305.6,282.6,963.0,847.0,760.0,588.0,56.0,79.0,10.0,1.3448275862068966,3.0,2.0,0.0,8.0,1.0,3.0,1.0,0.0,17.994505966412667,D
Arsenal,Swansea,M Clattenburg,15675.0,2.0,2.0,60.0,59.0,37.0,35.0,294.50000000000006,266.00000000000017,767.0,620.0,582.0,460.0,79.0,90.0,1.0,1.037037037037037,1.0,3.0,1.0,2.0,2.0,3.0,0.0,3.0,-5.961458975806799,A
Fulham,Tottenham,C Foy,15675.0,2.0,2.0,51.0,64.0,35.0,36.0,233.79999999999995,217.79999999999993,551.0,472.0,388.0,287.0,113.0,100.0,-6.0,0.8,0.0,3.0,2.0,-3.0,2.0,0.0,3.0,-2.0,-5.648526473526466,A
