home,away,Referee,time,HRestDay,ARestDay,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_Poss_Acc,A_Poss_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_interceptions_Acc,A_interceptions_Acc,H_Enemy_Acc,A_Enemy_Acc,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,H_atkPass_ratio,A_atkPass_ratio,y
QPR,Man City,P Dowd,15734.0,3.0,3.0,53.0,85.0,27.0,50.0,187.90000000000012,287.60000000000014,384.0,997.0,212.0,788.0,103.0,63.0,159.0,132.0,-30.0,0.3333333333333333,1.0,2.0,2.0,-3.0,4.0,0.0,1.0,7.0,-19.351186117720438,0.5520833333333334,0.7903711133400201,D
Sunderland,Swansea,A Marriner,15734.0,10.0,5.0,55.0,59.0,36.0,34.0,189.09999999999994,282.9000000000002,494.0,645.0,285.0,453.0,68.0,84.0,145.0,111.0,-1.0,0.9629629629629629,3.0,0.0,2.0,1.0,2.0,3.0,0.0,3.0,-2.1767939659318998,0.5769230769230769,0.7023255813953488,D
Stoke,Wigan,M Jones,15734.0,3.0,3.0,39.0,61.0,24.0,32.0,218.20000000000005,280.80000000000007,601.0,653.0,348.0,454.0,59.0,72.0,149.0,144.0,11.0,1.6875,1.0,1.0,3.0,-7.0,1.0,1.0,3.0,-3.0,7.1635979815658,0.5790349417637272,0.6952526799387443,D
Everton,West Brom,M Oliver,15735.0,4.0,10.0,62.0,78.0,36.0,40.0,246.7,236.69999999999993,827.0,656.0,554.0,428.0,93.0,46.0,122.0,111.0,5.0,1.1785714285714286,2.0,2.0,1.0,1.0,1.0,1.0,3.0,-3.0,19.368239506881153,0.6698911729141476,0.6524390243902439,H
Fulham,West Ham,C Foy,15735.0,3.0,6.0,59.0,63.0,25.0,33.0,269.1,269.2000000000001,724.0,792.0,512.0,495.0,115.0,79.0,139.0,102.0,1.0,1.0454545454545454,1.0,2.0,2.0,-2.0,1.0,1.0,3.0,-7.0,11.988410188844973,0.7071823204419889,0.625,H
Man United,Southampton,L Mason,15735.0,3.0,8.0,68.0,49.0,47.0,31.0,260.9000000000001,233.09999999999994,681.0,705.0,489.0,436.0,78.0,97.0,144.0,151.0,27.0,2.125,4.0,1.0,0.0,8.0,1.0,4.0,0.0,1.0,24.650558746874637,0.7180616740088106,0.6184397163120567,H
Norwich,Tottenham,N Swarbrick,15735.0,4.0,3.0,47.0,107.0,21.0,76.0,219.40000000000006,295.2999999999999,659.0,793.0,396.0,583.0,77.0,102.0,146.0,121.0,-15.0,0.625,0.0,1.0,4.0,-8.0,3.0,2.0,0.0,7.0,-31.029133330750156,0.6009104704097117,0.7351828499369483,D
Reading,Chelsea,M Halsey,15735.0,4.0,3.0,26.0,81.0,17.0,48.0,195.79999999999995,281.29999999999995,522.0,851.0,273.0,586.0,68.0,63.0,135.0,126.0,-18.0,0.5135135135135135,3.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,2.925515481436534,0.5229885057471264,0.6886016451233843,D
Arsenal,Liverpool,K Friend,15735.0,4.0,2.0,66.0,84.0,45.0,48.0,258.9,316.8000000000001,793.0,851.0,562.0,642.0,98.0,70.0,141.0,137.0,-1.0,0.9705882352941176,2.0,1.0,2.0,5.0,3.0,0.0,2.0,8.0,-2.800484761990628,0.7087011349306431,0.754406580493537,D
Reading,Sunderland,L Mason,15738.0,2.0,3.0,28.0,47.0,17.0,32.0,200.2,192.19999999999993,543.0,504.0,289.0,282.0,70.0,80.0,145.0,130.0,-6.0,0.7692307692307693,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,9.619752921454378,0.5322283609576427,0.5595238095238095,H
Wigan,Southampton,A Marriner,15738.0,3.0,2.0,62.0,62.0,32.0,34.0,291.2000000000001,245.29999999999995,671.0,765.0,481.0,504.0,62.0,93.0,138.0,172.0,-7.0,0.7083333333333334,1.0,2.0,2.0,-2.0,1.0,3.0,1.0,0.0,-10.642460413123024,0.7168405365126677,0.6588235294117647,D
West Ham,Swansea,L Probert,15738.0,2.0,3.0,60.0,67.0,34.0,38.0,259.2000000000001,274.8000000000002,783.0,654.0,493.0,473.0,69.0,101.0,113.0,125.0,-7.0,0.75,1.0,1.0,3.0,-8.0,2.0,3.0,0.0,3.0,-20.913727530174302,0.6296296296296297,0.7232415902140673,H
Newcastle,Chelsea,H Webb,15738.0,3.0,2.0,58.0,80.0,40.0,43.0,255.50000000000009,296.89999999999986,575.0,858.0,326.0,587.0,69.0,59.0,124.0,110.0,-17.0,0.5405405405405406,1.0,1.0,3.0,-5.0,2.0,2.0,1.0,4.0,-14.793714554743964,0.5669565217391305,0.6841491841491841,H
Fulham,Man United,K Friend,15738.0,2.0,2.0,62.0,63.0,29.0,44.0,262.3,242.90000000000006,707.0,632.0,519.0,449.0,117.0,80.0,142.0,145.0,-28.0,0.45098039215686275,2.0,1.0,2.0,0.0,4.0,1.0,0.0,8.0,-31.02462611322899,0.7340876944837341,0.7104430379746836,A
Arsenal,Stoke,C Foy,15738.0,2.0,3.0,64.0,41.0,39.0,22.0,276.5,217.50000000000009,864.0,634.0,628.0,365.0,102.0,57.0,153.0,137.0,4.0,1.1481481481481481,1.0,2.0,2.0,1.0,0.0,2.0,3.0,-9.0,9.105136784671657,0.7268518518518519,0.5757097791798107,H
QPR,Norwich,J Moss,15738.0,3.0,2.0,40.0,47.0,22.0,21.0,169.40000000000015,224.50000000000009,337.0,665.0,182.0,384.0,124.0,74.0,171.0,150.0,-10.0,0.6,1.0,3.0,1.0,-2.0,0.0,2.0,3.0,-7.0,12.466617243234076,0.5400593471810089,0.5774436090225564,D
Everton,Aston Villa,M Jones,15738.0,2.0,3.0,56.0,56.0,31.0,31.0,255.3,221.7000000000003,852.0,617.0,574.0,362.0,93.0,101.0,132.0,108.0,18.0,2.0588235294117645,2.0,2.0,1.0,1.0,0.0,2.0,3.0,-5.0,28.142429519654755,0.6737089201877934,0.586709886547812,D
Man City,Liverpool,A Taylor,15739.0,4.0,3.0,81.0,82.0,45.0,47.0,289.30000000000007,292.60000000000014,985.0,782.0,749.0,585.0,60.0,83.0,125.0,142.0,11.0,1.3235294117647058,4.0,1.0,0.0,8.0,3.0,1.0,1.0,10.0,13.989119952698339,0.7604060913705584,0.7480818414322251,D
West Brom,Tottenham,M Clattenburg,15739.0,3.0,3.0,73.0,99.0,38.0,67.0,230.59999999999994,294.5999999999999,620.0,786.0,410.0,581.0,48.0,107.0,131.0,125.0,-10.0,0.7368421052631579,0.0,1.0,4.0,-5.0,2.0,3.0,0.0,3.0,-31.348775661275656,0.6612903225806451,0.7391857506361323,A
Sunderland,Arsenal,A Taylor,15745.0,7.0,7.0,48.0,73.0,32.0,44.0,198.89999999999992,286.0,500.0,945.0,296.0,721.0,68.0,100.0,115.0,161.0,-10.0,0.696969696969697,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,-10.151346931511586,0.592,0.762962962962963,A
Swansea,QPR,N Swarbrick,15745.0,7.0,7.0,68.0,41.0,36.0,22.0,298.3000000000001,185.6000000000001,729.0,375.0,517.0,206.0,98.0,120.0,123.0,169.0,12.0,1.75,1.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,-5.909791511170823,0.7091906721536351,0.5493333333333333,H
Tottenham,Newcastle,P Dowd,15745.0,6.0,7.0,102.0,67.0,66.0,45.0,308.9999999999999,245.50000000000009,826.0,591.0,628.0,333.0,114.0,74.0,129.0,128.0,18.0,1.9,2.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0,18.73332484961741,0.7602905569007264,0.5634517766497462,H
Southampton,Man City,M Atkinson,15745.0,7.0,5.0,68.0,77.0,35.0,41.0,255.79999999999993,281.40000000000003,802.0,944.0,533.0,694.0,109.0,69.0,154.0,132.0,-23.0,0.4888888888888889,1.0,3.0,1.0,0.0,3.0,2.0,0.0,7.0,-24.53861095830601,0.6645885286783042,0.7351694915254238,H
Chelsea,Wigan,M Dean,15745.0,7.0,7.0,69.0,58.0,38.0,29.0,287.19999999999993,282.50000000000006,777.0,664.0,512.0,475.0,53.0,84.0,119.0,142.0,16.0,1.8888888888888888,2.0,2.0,1.0,4.0,0.0,3.0,2.0,-5.0,15.522982622417608,0.6589446589446589,0.7153614457831325,H
Stoke,Reading,M Oliver,15745.0,7.0,7.0,37.0,34.0,16.0,20.0,197.20000000000005,215.0,545.0,607.0,311.0,323.0,65.0,69.0,149.0,145.0,5.0,1.2272727272727273,0.0,1.0,4.0,-10.0,3.0,1.0,1.0,1.0,-20.132682559560685,0.5706422018348624,0.5321252059308073,H
Norwich,Fulham,H Webb,15745.0,7.0,6.0,48.0,55.0,22.0,24.0,228.40000000000006,247.8,646.0,678.0,351.0,474.0,66.0,116.0,124.0,166.0,6.0,1.3,0.0,3.0,2.0,-6.0,2.0,1.0,2.0,0.0,-2.2271120475377515,0.5433436532507739,0.6991150442477876,D
Aston Villa,West Ham,M Clattenburg,15746.0,8.0,8.0,53.0,64.0,31.0,35.0,207.50000000000026,244.60000000000008,542.0,761.0,309.0,459.0,116.0,66.0,126.0,115.0,-5.0,0.782608695652174,0.0,3.0,2.0,-2.0,1.0,1.0,3.0,-8.0,-2.1653114126865702,0.5701107011070111,0.6031537450722734,H
Man United,Everton,M Halsey,15746.0,7.0,8.0,59.0,66.0,38.0,38.0,240.00000000000009,275.6,640.0,903.0,442.0,615.0,73.0,87.0,133.0,111.0,18.0,1.5454545454545454,4.0,1.0,0.0,7.0,2.0,3.0,0.0,2.0,18.07376596350376,0.690625,0.6810631229235881,H
Liverpool,West Brom,J Moss,15747.0,7.0,8.0,87.0,64.0,48.0,32.0,280.4000000000001,218.89999999999992,764.0,566.0,578.0,364.0,83.0,53.0,175.0,121.0,10.0,1.4,2.0,2.0,1.0,7.0,0.0,1.0,4.0,-4.0,31.257760254214645,0.756544502617801,0.6431095406360424,A
Liverpool,Swansea,H Webb,15753.0,2.0,8.0,83.0,58.0,46.0,35.0,272.70000000000016,291.3000000000001,729.0,691.0,544.0,494.0,81.0,106.0,177.0,120.0,1.0,1.032258064516129,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,-3.497582011908026,0.7462277091906722,0.7149059334298119,H
Norwich,Everton,L Mason,15759.0,14.0,6.0,54.0,68.0,27.0,40.0,222.00000000000009,279.1,657.0,925.0,374.0,623.0,62.0,93.0,119.0,141.0,-3.0,0.9,0.0,4.0,1.0,-5.0,1.0,3.0,1.0,-1.0,-4.4574505783590155,0.5692541856925418,0.6735135135135135,H
Fulham,Stoke,L Probert,15759.0,14.0,14.0,52.0,46.0,24.0,23.0,249.4,216.90000000000003,710.0,610.0,484.0,347.0,106.0,60.0,158.0,128.0,-6.0,0.7777777777777778,1.0,2.0,2.0,-1.0,1.0,1.0,3.0,-6.0,1.31356249076239,0.6816901408450704,0.5688524590163935,H
Arsenal,Aston Villa,M Atkinson,15759.0,3.0,13.0,82.0,52.0,49.0,27.0,307.3,225.2000000000003,1023.0,555.0,796.0,334.0,82.0,98.0,141.0,120.0,16.0,1.8,3.0,1.0,1.0,5.0,1.0,2.0,2.0,-1.0,20.34915707041943,0.7781036168132942,0.6018018018018018,H
Reading,Wigan,P Dowd,15759.0,4.0,6.0,32.0,64.0,20.0,36.0,224.9,276.70000000000005,662.0,609.0,366.0,443.0,53.0,103.0,135.0,126.0,3.0,1.1666666666666667,3.0,1.0,1.0,2.0,0.0,3.0,2.0,-4.0,16.575345981847526,0.552870090634441,0.7274220032840722,A
West Brom,Sunderland,R East,15759.0,11.0,14.0,51.0,54.0,25.0,34.0,215.69999999999993,203.79999999999993,559.0,536.0,350.0,336.0,63.0,78.0,134.0,119.0,4.0,1.173913043478261,1.0,1.0,3.0,-1.0,2.0,1.0,2.0,2.0,-3.8975309777941334,0.6261180679785331,0.6268656716417911,H
QPR,Man United,A Taylor,15759.0,14.0,4.0,47.0,55.0,25.0,35.0,187.0000000000001,239.80000000000013,407.0,638.0,240.0,434.0,123.0,84.0,157.0,147.0,-38.0,0.2962962962962963,0.0,4.0,1.0,-3.0,4.0,1.0,0.0,5.0,-37.748110564980706,0.5896805896805897,0.6802507836990596,A
Man City,Chelsea,A Marriner,15760.0,7.0,2.0,67.0,83.0,36.0,46.0,275.5,283.5999999999999,839.0,820.0,588.0,562.0,77.0,58.0,124.0,108.0,8.0,1.2352941176470589,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,7.055110922484388,0.700834326579261,0.6853658536585366,H
Newcastle,Southampton,C Foy,15760.0,2.0,14.0,62.0,70.0,41.0,38.0,240.70000000000007,251.09999999999997,615.0,809.0,356.0,537.0,79.0,113.0,132.0,179.0,-6.0,0.76,2.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,-9.410633475011249,0.5788617886178862,0.6637824474660075,H
West Ham,Tottenham,H Webb,15761.0,15.0,3.0,68.0,88.0,38.0,55.0,244.40000000000006,295.2999999999999,767.0,747.0,456.0,538.0,68.0,115.0,111.0,135.0,-18.0,0.5263157894736842,1.0,1.0,3.0,-6.0,2.0,3.0,0.0,2.0,-28.481766174329096,0.5945241199478487,0.7202141900937081,A
Sunderland,Fulham,M Halsey,15766.0,7.0,7.0,46.0,58.0,26.0,28.0,196.89999999999992,260.9,541.0,745.0,343.0,509.0,89.0,101.0,119.0,166.0,-1.0,0.9565217391304348,1.0,1.0,3.0,-2.0,2.0,1.0,2.0,0.0,-11.523436672733355,0.634011090573013,0.6832214765100671,D
Swansea,Newcastle,C Pawson,15766.0,5.0,6.0,58.0,64.0,36.0,42.0,292.3000000000001,236.80000000000007,644.0,613.0,464.0,360.0,111.0,79.0,118.0,131.0,8.0,1.3636363636363635,2.0,1.0,2.0,-1.0,3.0,0.0,2.0,2.0,-0.5582557087162456,0.7204968944099379,0.5872756933115824,H
Southampton,QPR,H Webb,15766.0,6.0,7.0,74.0,55.0,42.0,29.0,268.2,197.40000000000012,804.0,435.0,534.0,269.0,119.0,134.0,159.0,171.0,8.0,1.5,1.0,2.0,2.0,-1.0,0.0,3.0,2.0,-5.0,7.099090412810298,0.664179104477612,0.6183908045977011,A
Wigan,Liverpool,M Atkinson,15766.0,7.0,8.0,63.0,104.0,38.0,59.0,296.0,273.00000000000017,634.0,769.0,480.0,578.0,102.0,82.0,125.0,155.0,-14.0,0.5882352941176471,1.0,2.0,2.0,-1.0,2.0,2.0,1.0,8.0,-14.630467267552184,0.7570977917981072,0.7516254876462939,A
Stoke,West Ham,J Moss,15766.0,7.0,4.0,42.0,54.0,20.0,31.0,212.80000000000004,213.10000000000008,607.0,673.0,332.0,383.0,50.0,70.0,110.0,135.0,6.0,1.3,1.0,1.0,3.0,-3.0,1.0,0.0,4.0,-7.0,5.7615641459606906,0.5469522240527183,0.5690936106983655,A
Man United,Norwich,N Swarbrick,15766.0,7.0,7.0,53.0,52.0,33.0,33.0,245.30000000000013,212.1000000000001,658.0,632.0,444.0,344.0,90.0,68.0,131.0,131.0,24.0,1.8,4.0,1.0,0.0,6.0,1.0,3.0,1.0,-4.0,26.563053152656103,0.6747720364741642,0.5443037974683544,H
Chelsea,West Brom,K Friend,15766.0,2.0,7.0,68.0,57.0,37.0,26.0,278.0999999999999,232.19999999999993,789.0,612.0,549.0,419.0,56.0,63.0,128.0,144.0,4.0,1.1481481481481481,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,-1.786307225161714,0.6958174904942965,0.684640522875817,H
Everton,Reading,A Taylor,15766.0,3.0,7.0,63.0,32.0,37.0,14.0,279.0,197.2,907.0,601.0,607.0,318.0,85.0,57.0,141.0,122.0,8.0,1.380952380952381,1.0,2.0,2.0,-2.0,2.0,1.0,2.0,-2.0,3.0099850506390737,0.6692392502756339,0.5291181364392679,H
Tottenham,Arsenal,M Clattenburg,15767.0,5.0,8.0,97.0,94.0,63.0,55.0,295.0999999999999,321.5,656.0,1114.0,467.0,891.0,98.0,81.0,141.0,124.0,2.0,1.0555555555555556,3.0,2.0,0.0,3.0,4.0,1.0,0.0,7.0,-0.3550882337809327,0.711890243902439,0.7998204667863554,H
Aston Villa,Man City,M Dean,15768.0,9.0,8.0,41.0,66.0,20.0,38.0,210.3000000000003,262.5,467.0,809.0,281.0,559.0,102.0,78.0,137.0,123.0,-22.0,0.47619047619047616,1.0,2.0,2.0,-1.0,2.0,2.0,1.0,2.0,-18.52227315168492,0.6017130620985011,0.6909765142150803,A
Norwich,Southampton,M Clattenburg,15773.0,7.0,7.0,48.0,77.0,31.0,40.0,214.80000000000013,281.49999999999994,619.0,857.0,334.0,568.0,71.0,128.0,154.0,143.0,3.0,1.125,1.0,3.0,1.0,-3.0,1.0,1.0,3.0,-2.0,10.65033359313545,0.5395799676898223,0.662777129521587,D
QPR,Sunderland,M Jones,15773.0,7.0,7.0,51.0,48.0,26.0,27.0,200.30000000000013,216.79999999999993,458.0,593.0,286.0,387.0,130.0,78.0,171.0,125.0,-4.0,0.8181818181818182,1.0,2.0,2.0,-4.0,0.0,2.0,3.0,-3.0,9.026040626040633,0.6244541484716157,0.6526138279932546,H
Reading,Aston Villa,J Moss,15773.0,7.0,4.0,38.0,40.0,18.0,18.0,192.7,214.90000000000026,607.0,542.0,335.0,327.0,69.0,117.0,132.0,149.0,0.0,1.0,1.0,1.0,3.0,-5.0,1.0,1.0,3.0,-2.0,-1.7330752506689286,0.5518945634266886,0.6033210332103321,A
West Brom,Swansea,L Mason,15773.0,7.0,7.0,40.0,56.0,21.0,37.0,221.89999999999992,299.3000000000001,548.0,610.0,369.0,430.0,66.0,107.0,155.0,112.0,-3.0,0.9,2.0,0.0,3.0,0.0,2.0,1.0,2.0,-2.0,-1.5843272087435913,0.6733576642335767,0.7049180327868853,H
Liverpool,Tottenham,M Oliver,15774.0,7.0,2.0,95.0,85.0,56.0,50.0,253.20000000000016,283.5999999999999,675.0,599.0,479.0,420.0,80.0,87.0,149.0,124.0,-7.0,0.8292682926829268,2.0,2.0,1.0,7.0,4.0,1.0,0.0,4.0,-13.0704527863777,0.7096296296296296,0.7011686143572621,H
Newcastle,Stoke,A Marriner,15774.0,2.0,8.0,63.0,45.0,39.0,20.0,218.10000000000008,221.00000000000009,598.0,645.0,361.0,345.0,86.0,44.0,145.0,105.0,-5.0,0.8076923076923077,3.0,0.0,2.0,2.0,1.0,1.0,3.0,-2.0,11.38476343187719,0.6036789297658863,0.5348837209302325,H
Man United,Reading,L Mason,15780.0,5.0,7.0,60.0,43.0,39.0,20.0,261.30000000000007,201.8,775.0,610.0,562.0,343.0,92.0,75.0,121.0,115.0,35.0,2.8421052631578947,5.0,0.0,0.0,10.0,1.0,0.0,4.0,-6.0,49.47829614604463,0.7251612903225807,0.5622950819672131,H
Swansea,Arsenal,J Moss,15780.0,7.0,2.0,47.0,81.0,33.0,44.0,291.2000000000002,312.9000000000001,598.0,1047.0,402.0,823.0,102.0,83.0,113.0,137.0,-6.0,0.8333333333333334,2.0,0.0,3.0,-3.0,3.0,1.0,1.0,2.0,-16.883974369574965,0.6722408026755853,0.7860553963705826,A
Southampton,Liverpool,P Dowd,15780.0,7.0,5.0,71.0,95.0,37.0,55.0,283.2999999999999,261.50000000000017,808.0,715.0,519.0,493.0,137.0,76.0,119.0,157.0,-11.0,0.6944444444444444,1.0,2.0,2.0,-1.0,3.0,1.0,1.0,8.0,-16.889803804296832,0.6423267326732673,0.6895104895104895,H
Everton,Man City,L Probert,15780.0,7.0,6.0,71.0,66.0,42.0,39.0,292.5,269.90000000000003,946.0,817.0,661.0,560.0,83.0,74.0,139.0,120.0,-11.0,0.7380952380952381,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,-9.880595289317405,0.6987315010570825,0.6854345165238678,H
Aston Villa,QPR,K Friend,15780.0,7.0,7.0,48.0,61.0,21.0,31.0,221.70000000000027,218.7000000000001,568.0,525.0,358.0,321.0,127.0,105.0,151.0,148.0,1.0,1.0476190476190477,2.0,1.0,2.0,0.0,2.0,1.0,2.0,-2.0,-0.43323996265172937,0.6302816901408451,0.6114285714285714,H
Stoke,West Brom,M Dean,15780.0,6.0,7.0,43.0,45.0,20.0,23.0,227.90000000000006,221.99999999999991,606.0,583.0,324.0,383.0,49.0,77.0,110.0,152.0,-5.0,0.8333333333333334,1.0,0.0,4.0,-3.0,3.0,0.0,2.0,2.0,-21.905346700083538,0.5346534653465347,0.6569468267581475,D
Chelsea,West Ham,M Oliver,15781.0,2.0,15.0,80.0,57.0,48.0,33.0,280.69999999999993,230.1000000000001,805.0,704.0,576.0,409.0,60.0,58.0,121.0,128.0,11.0,1.55,2.0,1.0,2.0,1.0,2.0,0.0,3.0,-2.0,8.117926524011871,0.715527950310559,0.5809659090909091,H
Sunderland,Norwich,C Foy,15781.0,8.0,8.0,51.0,43.0,28.0,29.0,230.99999999999991,214.10000000000016,601.0,601.0,389.0,331.0,61.0,74.0,116.0,138.0,-5.0,0.8148148148148148,0.0,1.0,4.0,-5.0,1.0,3.0,1.0,-3.0,-20.0924630924631,0.6472545757071547,0.5507487520798668,D
Tottenham,Fulham,M Jones,15781.0,2.0,15.0,88.0,62.0,52.0,32.0,278.7,256.79999999999995,583.0,705.0,396.0,472.0,88.0,95.0,133.0,143.0,17.0,1.8095238095238095,4.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,13.96259061977193,0.6792452830188679,0.6695035460992907,A
Wigan,Newcastle,M Halsey,15781.0,8.0,2.0,58.0,67.0,38.0,38.0,277.70000000000005,226.00000000000009,571.0,605.0,419.0,389.0,119.0,78.0,135.0,151.0,-1.0,0.9523809523809523,1.0,2.0,2.0,-4.0,3.0,0.0,2.0,2.0,-7.1863832375055345,0.7338003502626971,0.6429752066115703,H
Everton,Stoke,M Jones,15794.0,14.0,14.0,71.0,50.0,43.0,23.0,277.20000000000005,241.80000000000007,863.0,646.0,598.0,359.0,89.0,42.0,153.0,109.0,7.0,1.2692307692307692,2.0,1.0,2.0,1.0,1.0,1.0,3.0,-2.0,16.27511853091255,0.6929316338354577,0.5557275541795665,H
Wigan,Norwich,H Webb,15794.0,12.0,13.0,60.0,36.0,42.0,23.0,264.40000000000003,198.70000000000016,543.0,561.0,392.0,305.0,131.0,90.0,129.0,145.0,-5.0,0.8,2.0,1.0,2.0,-3.0,1.0,3.0,1.0,-3.0,-4.430777610189381,0.7219152854511971,0.5436720142602496,H
Swansea,Tottenham,A Taylor,15794.0,14.0,13.0,45.0,79.0,28.0,45.0,284.0000000000001,268.49999999999994,560.0,544.0,386.0,332.0,113.0,87.0,128.0,126.0,-9.0,0.7631578947368421,2.0,0.0,3.0,-4.0,3.0,0.0,2.0,1.0,-10.779079131652658,0.6892857142857143,0.6102941176470589,A
Arsenal,Reading,C Foy,15794.0,14.0,13.0,82.0,39.0,49.0,16.0,294.2000000000001,196.4,1000.0,590.0,789.0,339.0,84.0,71.0,133.0,143.0,18.0,2.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,-8.0,36.20078751332776,0.789,0.5745762711864407,H
Southampton,Chelsea,J Moss,15794.0,14.0,12.0,73.0,90.0,42.0,57.0,276.5999999999999,276.89999999999986,797.0,838.0,504.0,625.0,124.0,63.0,138.0,122.0,-6.0,0.8235294117647058,2.0,1.0,2.0,1.0,3.0,0.0,2.0,3.0,-1.024055747009399,0.6323713927227101,0.7458233890214797,H
Man City,Newcastle,N Swarbrick,15794.0,14.0,12.0,68.0,57.0,43.0,29.0,260.6,230.40000000000006,785.0,588.0,548.0,370.0,75.0,78.0,136.0,134.0,19.0,1.95,2.0,1.0,2.0,-1.0,2.0,0.0,3.0,0.0,12.679111880385221,0.6980891719745222,0.6292517006802721,H
Sunderland,Man United,K Friend,15794.0,13.0,13.0,57.0,66.0,30.0,40.0,244.69999999999993,275.4000000000001,644.0,818.0,440.0,610.0,62.0,82.0,123.0,116.0,-31.0,0.42592592592592593,0.0,2.0,3.0,-4.0,5.0,0.0,0.0,10.0,-43.94563279857398,0.6832298136645962,0.7457212713936431,A
West Ham,West Brom,A Marriner,15794.0,12.0,14.0,64.0,50.0,38.0,25.0,210.1000000000001,243.19999999999987,645.0,635.0,364.0,428.0,61.0,72.0,136.0,139.0,-8.0,0.7142857142857143,2.0,0.0,3.0,-2.0,3.0,1.0,1.0,3.0,-15.757083569137892,0.5643410852713179,0.6740157480314961,H
Aston Villa,Liverpool,L Mason,15795.0,15.0,15.0,50.0,82.0,23.0,49.0,250.10000000000028,259.3000000000002,623.0,645.0,412.0,418.0,103.0,78.0,137.0,137.0,-13.0,0.6285714285714286,3.0,0.0,2.0,1.0,3.0,0.0,2.0,6.0,-6.166871339444871,0.6613162118780096,0.648062015503876,A
Fulham,QPR,L Probert,15796.0,15.0,16.0,55.0,64.0,28.0,35.0,253.49999999999997,208.90000000000012,676.0,510.0,447.0,314.0,99.0,88.0,159.0,145.0,3.0,1.15,2.0,2.0,1.0,1.0,2.0,0.0,3.0,-3.0,10.489439148518436,0.6612426035502958,0.615686274509804,H
Reading,Southampton,M Jones,15801.0,7.0,7.0,38.0,73.0,14.0,43.0,184.4,283.0999999999999,536.0,756.0,308.0,471.0,88.0,121.0,152.0,127.0,-15.0,0.5,0.0,0.0,5.0,-10.0,2.0,1.0,2.0,0.0,-26.868458070463518,0.5746268656716418,0.623015873015873,A
Stoke,Aston Villa,M Clattenburg,15801.0,6.0,6.0,47.0,53.0,18.0,28.0,229.70000000000007,248.40000000000026,593.0,630.0,329.0,415.0,61.0,128.0,120.0,149.0,1.0,1.0454545454545454,0.0,1.0,4.0,-4.0,2.0,0.0,3.0,-1.0,-12.51774891774891,0.554806070826307,0.6587301587301587,A
West Brom,Arsenal,H Webb,15801.0,7.0,7.0,63.0,90.0,33.0,54.0,262.19999999999993,298.9000000000001,680.0,1001.0,467.0,791.0,53.0,88.0,124.0,124.0,-14.0,0.6410256410256411,2.0,1.0,2.0,-1.0,4.0,0.0,1.0,6.0,-19.006151498002094,0.6867647058823529,0.7902097902097902,A
Norwich,Swansea,M Oliver,15801.0,7.0,7.0,30.0,43.0,20.0,19.0,202.80000000000015,284.2000000000001,572.0,602.0,306.0,421.0,95.0,115.0,145.0,150.0,-4.0,0.8571428571428571,1.0,2.0,2.0,-4.0,1.0,0.0,4.0,-8.0,4.449427387914234,0.534965034965035,0.6993355481727574,D
Chelsea,Sunderland,N Swarbrick,15802.0,2.0,8.0,85.0,54.0,55.0,27.0,271.89999999999986,244.59999999999994,842.0,640.0,629.0,428.0,75.0,53.0,130.0,144.0,13.0,1.65,3.0,0.0,2.0,3.0,0.0,2.0,3.0,-4.0,18.292466546735994,0.7470308788598575,0.66875,H
Liverpool,West Ham,A Taylor,15802.0,7.0,8.0,75.0,60.0,47.0,37.0,254.30000000000013,213.7000000000001,648.0,636.0,419.0,370.0,84.0,69.0,134.0,136.0,15.0,1.6818181818181819,4.0,0.0,1.0,9.0,2.0,0.0,3.0,-1.0,20.102081799612883,0.6466049382716049,0.5817610062893082,D
Newcastle,Fulham,K Friend,15802.0,2.0,5.0,53.0,49.0,23.0,25.0,221.10000000000005,256.9,534.0,633.0,331.0,435.0,76.0,91.0,135.0,128.0,-5.0,0.8,2.0,0.0,3.0,-3.0,3.0,2.0,0.0,3.0,-18.377739080141826,0.6198501872659176,0.6872037914691943,H
QPR,Wigan,P Dowd,15802.0,5.0,8.0,69.0,68.0,38.0,45.0,223.10000000000008,271.80000000000007,542.0,614.0,335.0,453.0,74.0,106.0,140.0,130.0,0.0,1.0,2.0,0.0,3.0,-1.0,3.0,0.0,2.0,-2.0,-5.24161306156191,0.6180811808118081,0.737785016286645,D
