home,away,Referee,time,HRestTime,ARestTime,HAccS,AAccS,HAccST,AAccST,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,y
Swansea,West Brom,L Mason,15672.0,3.0,4.0,55.0,50.0,32.0,26.0,-9.0,0.7352941176470589,1.0,3.0,1.0,0.0,4.0,0.0,1.0,5.0,-11.245768652805822,H
Arsenal,Swansea,M Clattenburg,15675.0,2.0,2.0,60.0,59.0,37.0,35.0,1.0,1.037037037037037,1.0,3.0,1.0,2.0,2.0,3.0,0.0,3.0,-5.961458975806799,A
Man City,Everton,L Probert,15675.0,2.0,2.0,81.0,91.0,37.0,55.0,10.0,1.3448275862068966,3.0,2.0,0.0,8.0,1.0,3.0,1.0,0.0,17.994505966412667,D
Fulham,Tottenham,C Foy,15675.0,2.0,2.0,51.0,64.0,35.0,36.0,-6.0,0.8,0.0,3.0,2.0,-3.0,2.0,0.0,3.0,-2.0,-5.648526473526466,A
West Ham,Chelsea,M Atkinson,15675.0,2.0,2.0,51.0,64.0,26.0,36.0,-7.0,0.7878787878787878,1.0,2.0,2.0,-2.0,0.0,4.0,1.0,-1.0,-7.194801998826762,H
West Brom,Stoke,K Friend,15675.0,2.0,2.0,48.0,53.0,24.0,22.0,7.0,1.2692307692307692,4.0,0.0,1.0,4.0,3.0,1.0,1.0,2.0,6.2197679951627265,A
Reading,Man United,M Halsey,15675.0,3.0,2.0,64.0,77.0,31.0,46.0,-23.0,0.425,1.0,2.0,2.0,-1.0,4.0,0.0,1.0,4.0,-23.53626445793628,A
Liverpool,Southampton,M Oliver,15675.0,2.0,2.0,86.0,66.0,51.0,37.0,4.0,1.2105263157894737,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,0.25916330831191203,H
QPR,Aston Villa,H Webb,15675.0,3.0,3.0,76.0,54.0,42.0,36.0,-8.0,0.6,0.0,2.0,3.0,-5.0,2.0,1.0,2.0,-4.0,-16.12936507936508,D
Norwich,Sunderland,P Dowd,15676.0,3.0,4.0,49.0,61.0,25.0,34.0,2.0,1.0952380952380953,2.0,3.0,0.0,2.0,1.0,1.0,3.0,-2.0,17.005722185899543,H
