home,away,Referee,time,prevTimeDiff,HAccP,AAccP,hw,hd,hl,H goal Diff,aw,ad,al,A goal diff,y
Newcastle,Reading,A Marriner,15724.0,7.0,18.0,15.0,1.0,1.0,3.0,-5.0,2.0,1.0,2.0,-1.0,A
Swansea,Stoke,M Dean,15724.0,2.0,24.0,27.0,1.0,4.0,0.0,1.0,1.0,2.0,2.0,-5.0,H
West Brom,Aston Villa,L Probert,15724.0,3.0,29.0,19.0,2.0,0.0,3.0,-2.0,0.0,1.0,4.0,-16.0,D
West Ham,QPR,H Webb,15724.0,2.0,23.0,13.0,1.0,1.0,3.0,-4.0,1.0,1.0,3.0,-4.0,D
Wigan,Sunderland,A Taylor,15724.0,3.0,16.0,23.0,1.0,1.0,3.0,-3.0,3.0,0.0,2.0,1.0,A
Liverpool,Norwich,M Oliver,15724.0,6.0,30.0,25.0,3.0,0.0,2.0,7.0,0.0,1.0,4.0,-4.0,H
Man City,Fulham,J Moss,15724.0,5.0,44.0,22.0,4.0,0.0,1.0,6.0,1.0,2.0,2.0,-4.0,H
Chelsea,Arsenal,M Atkinson,15725.0,3.0,36.0,33.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,6.0,H
Tottenham,Man United,C Foy,15725.0,8.0,39.0,52.0,3.0,2.0,0.0,7.0,4.0,1.0,0.0,8.0,D
Southampton,Everton,N Swarbrick,15726.0,4.0,22.0,31.0,1.0,4.0,0.0,1.0,3.0,1.0,1.0,2.0,D
Arsenal,West Ham,A Marriner,15728.0,3.0,32.0,24.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,-4.0,H
Stoke,Wigan,M Jones,15734.0,3.0,26.0,15.0,1.0,1.0,3.0,-7.0,1.0,1.0,3.0,-3.0,D
Sunderland,Swansea,A Marriner,15734.0,10.0,25.0,26.0,3.0,0.0,2.0,1.0,2.0,3.0,0.0,3.0,D
Aston Villa,Newcastle,M Dean,15734.0,3.0,19.0,17.0,0.0,2.0,3.0,-8.0,0.0,1.0,4.0,-7.0,A
QPR,Man City,P Dowd,15734.0,3.0,14.0,44.0,1.0,2.0,2.0,-3.0,4.0,0.0,1.0,7.0,D
Arsenal,Liverpool,K Friend,15735.0,4.0,32.0,33.0,2.0,1.0,2.0,5.0,3.0,0.0,2.0,8.0,D
Everton,West Brom,M Oliver,15735.0,4.0,32.0,27.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,-3.0,H
Fulham,West Ham,C Foy,15735.0,3.0,22.0,21.0,1.0,2.0,2.0,-2.0,1.0,1.0,3.0,-7.0,H
Man United,Southampton,L Mason,15735.0,3.0,50.0,23.0,4.0,1.0,0.0,8.0,1.0,4.0,0.0,1.0,H
Norwich,Tottenham,N Swarbrick,15735.0,4.0,24.0,39.0,0.0,1.0,4.0,-8.0,3.0,2.0,0.0,7.0,D
Reading,Chelsea,M Halsey,15735.0,4.0,18.0,36.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,D
QPR,Norwich,J Moss,15738.0,3.0,14.0,24.0,1.0,3.0,1.0,-2.0,0.0,2.0,3.0,-7.0,D
Arsenal,Stoke,C Foy,15738.0,2.0,30.0,26.0,1.0,2.0,2.0,1.0,0.0,2.0,3.0,-9.0,H
Everton,Aston Villa,M Jones,15738.0,2.0,34.0,16.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,-5.0,D
Reading,Sunderland,L Mason,15738.0,2.0,19.0,25.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,H
Fulham,Man United,K Friend,15738.0,2.0,22.0,50.0,2.0,1.0,2.0,0.0,4.0,1.0,0.0,8.0,A
West Ham,Swansea,L Probert,15738.0,2.0,20.0,27.0,1.0,1.0,3.0,-8.0,2.0,3.0,0.0,3.0,H
Wigan,Southampton,A Marriner,15738.0,3.0,16.0,23.0,1.0,2.0,2.0,-2.0,1.0,3.0,1.0,0.0,D
